tdate,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahmanbaria,Chandpur,Chapai Nababganj,Chattogram,Chuadanga,Cox's Bazar,Cumilla,Dhaka City,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokati,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoregonj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Meherpur,Moulvibazar,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Netrakona,Nilphamari,Noakhali,Pabna,Panchagarh,Pirojpur,Potuakhali,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon,Grand Total
2020-11-04,0.0,7.0,30.0,9.0,53.0,8.0,12.0,0.0,90.0,0.0,18.0,23.0,1036.0,13.0,41.0,5.0,1.0,40.0,9.0,10.0,4.0,9.0,5.0,11.0,0.0,1.0,9.0,11.0,1.0,5.0,0.0,1.0,7.0,7.0,2.0,2.0,6.0,3.0,13.0,0.0,2.0,13.0,7.0,11.0,6.0,1.0,8.0,20.0,7.0,2.0,12.0,10.0,14.0,2.0,11.0,2.0,5.0,2.0,4.0,4.0,9.0,19.0,3.0,1676.0
2020-11-03,0.0,2.0,22.0,1.0,30.0,6.0,14.0,0.0,83.0,0.0,23.0,29.0,785.0,14.0,15.0,4.0,4.0,21.0,8.0,6.0,3.0,8.0,5.0,6.0,9.0,1.0,11.0,15.0,0.0,4.0,6.0,1.0,5.0,2.0,6.0,4.0,3.0,5.0,12.0,10.0,4.0,23.0,8.0,1.0,3.0,1.0,7.0,16.0,2.0,4.0,2.0,2.0,12.0,0.0,14.0,1.0,1.0,2.0,5.0,3.0,7.0,16.0,0.0,1317.0
2020-11-02,1.0,0.0,22.0,6.0,31.0,10.0,15.0,1.0,90.0,0.0,7.0,31.0,959.0,18.0,13.0,3.0,2.0,26.0,8.0,7.0,4.0,2.0,1.0,8.0,0.0,0.0,7.0,8.0,1.0,6.0,6.0,0.0,5.0,1.0,9.0,2.0,9.0,2.0,6.0,2.0,3.0,21.0,15.0,1.0,3.0,4.0,3.0,6.0,4.0,3.0,4.0,5.0,14.0,3.0,13.0,5.0,2.0,1.0,3.0,2.0,13.0,7.0,2.0,1466.0
2020-11-01,1.0,3.0,30.0,7.0,10.0,6.0,19.0,1.0,79.0,0.0,6.0,20.0,940.0,13.0,18.0,9.0,0.0,16.0,10.0,12.0,7.0,9.0,0.0,1.0,0.0,1.0,11.0,14.0,1.0,6.0,3.0,1.0,4.0,2.0,12.0,3.0,7.0,5.0,8.0,1.0,2.0,32.0,5.0,3.0,2.0,0.0,7.0,1.0,1.0,1.0,6.0,1.0,28.0,1.0,19.0,0.0,0.0,0.0,5.0,4.0,35.0,18.0,3.0,1470.0
2020-10-31,0.0,0.0,6.0,5.0,14.0,2.0,19.0,0.0,40.0,0.0,6.0,29.0,887.0,15.0,3.0,4.0,1.0,13.0,4.0,2.0,2.0,18.0,0.0,3.0,3.0,0.0,19.0,20.0,2.0,1.0,5.0,0.0,2.0,1.0,2.0,0.0,7.0,4.0,4.0,5.0,2.0,16.0,7.0,0.0,1.0,0.0,10.0,11.0,6.0,1.0,4.0,0.0,18.0,1.0,1.0,0.0,0.0,1.0,6.0,3.0,23.0,4.0,4.0,1267.0
2020-10-30,0.0,1.0,21.0,6.0,11.0,2.0,0.0,1.0,96.0,1.0,27.0,7.0,607.0,1.0,7.0,3.0,2.0,24.0,5.0,3.0,6.0,6.0,1.0,8.0,0.0,0.0,9.0,7.0,4.0,2.0,0.0,1.0,2.0,6.0,2.0,3.0,3.0,1.0,9.0,2.0,0.0,17.0,4.0,15.0,1.0,1.0,3.0,10.0,0.0,1.0,5.0,5.0,10.0,1.0,20.0,1.0,3.0,1.0,2.0,4.0,14.0,2.0,0.0,1017.0
2020-10-29,0.0,1.0,13.0,8.0,8.0,10.0,8.0,2.0,82.0,2.0,28.0,34.0,859.0,15.0,19.0,5.0,2.0,20.0,5.0,7.0,8.0,0.0,3.0,1.0,0.0,1.0,16.0,9.0,1.0,3.0,2.0,2.0,6.0,1.0,9.0,1.0,5.0,5.0,24.0,1.0,1.0,21.0,5.0,2.0,3.0,1.0,2.0,16.0,4.0,3.0,2.0,3.0,19.0,4.0,8.0,1.0,5.0,2.0,5.0,8.0,35.0,7.0,12.0,1395.0
2020-10-28,4.0,2.0,40.0,2.0,26.0,6.0,8.0,12.0,80.0,2.0,16.0,32.0,906.0,7.0,15.0,12.0,0.0,17.0,7.0,10.0,6.0,1.0,1.0,6.0,7.0,0.0,8.0,17.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,10.0,6.0,18.0,15.0,0.0,30.0,5.0,5.0,1.0,3.0,11.0,16.0,0.0,0.0,4.0,3.0,10.0,0.0,21.0,1.0,2.0,1.0,1.0,2.0,10.0,14.0,0.0,1450.0
2020-10-27,1.0,1.0,4.0,4.0,21.0,8.0,8.0,1.0,48.0,0.0,32.0,14.0,795.0,6.0,7.0,1.0,4.0,6.0,2.0,2.0,2.0,6.0,1.0,0.0,0.0,2.0,4.0,5.0,0.0,5.0,1.0,1.0,5.0,1.0,6.0,1.0,7.0,7.0,9.0,3.0,0.0,15.0,5.0,1.0,3.0,2.0,15.0,7.0,1.0,1.0,3.0,9.0,11.0,1.0,1.0,1.0,4.0,0.0,8.0,2.0,12.0,4.0,3.0,1140.0
2020-10-26,0.0,0.0,15.0,2.0,14.0,4.0,12.0,3.0,82.0,1.0,23.0,17.0,677.0,10.0,5.0,1.0,7.0,13.0,7.0,3.0,2.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0,2.0,11.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,7.0,1.0,0.0,21.0,4.0,0.0,0.0,4.0,12.0,12.0,0.0,1.0,3.0,1.0,22.0,0.0,23.0,0.0,1.0,0.0,6.0,15.0,26.0,6.0,7.0,1119.0
