,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahamanbaria,Chandpur,Chapainawabganj,Chattogram,Chuadanga,Cox’s bazar,Cumilla,Dhaka (District),Dhaka City,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokathi,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoreganj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Meherpur,Moulvibazar,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Netrokona,Nilphamari,Noakhali,Pabna,Panchagarh,Pirojpur,Potuakhali,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon,total
2020-07-21,1.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,25.0,0.0,2.0,14.0,0.0,281.0,1.0,1.0,0.0,0.0,16.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,22.0,34.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,17.0,20.0,0.0,527.0
2020-07-20,2.0,1.0,2.0,4.0,0.0,5.0,20.0,5.0,24.0,35.0,1.0,8.0,31.0,0.0,379.0,1.0,2.0,3.0,1.0,19.0,1.0,21.0,8.0,1.0,1.0,0.0,3.0,13.0,2.0,10.0,0.0,4.0,11.0,0.0,17.0,1.0,11.0,0.0,24.0,2.0,5.0,16.0,0.0,14.0,7.0,1.0,1.0,2.0,10.0,2.0,0.0,3.0,10.0,30.0,37.0,1.0,2.0,1.0,20.0,1.0,3.0,17.0,16.0,17.0,0.0,886.0
2020-07-19,2.0,1.0,1.0,2.0,1.0,4.0,11.0,4.0,4.0,39.0,1.0,5.0,32.0,0.0,327.0,1.0,1.0,1.0,7.0,17.0,2.0,4.0,17.0,1.0,1.0,2.0,7.0,1.0,2.0,13.0,0.0,4.0,20.0,1.0,16.0,6.0,7.0,0.0,1.0,2.0,2.0,38.0,0.0,14.0,10.0,2.0,1.0,3.0,13.0,15.0,0.0,1.0,12.0,24.0,38.0,1.0,11.0,1.0,10.0,1.0,5.0,36.0,13.0,18.0,0.0,764.0
2020-07-18,1.0,1.0,1.0,3.0,1.0,1.0,22.0,5.0,1.0,47.0,1.0,10.0,37.0,0.0,168.0,2.0,2.0,2.0,1.0,7.0,3.0,11.0,12.0,2.0,1.0,1.0,10.0,1.0,2.0,10.0,0.0,5.0,1.0,1.0,16.0,10.0,11.0,0.0,2.0,1.0,1.0,5.0,0.0,7.0,8.0,4.0,1.0,4.0,3.0,4.0,0.0,2.0,7.0,19.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,18.0,1.0,2.0,497.0
2020-07-17,1.0,1.0,2.0,3.0,1.0,1.0,22.0,5.0,1.0,47.0,1.0,10.0,37.0,0.0,168.0,2.0,2.0,2.0,1.0,7.0,3.0,11.0,12.0,2.0,1.0,1.0,14.0,1.0,2.0,7.0,0.0,5.0,1.0,2.0,16.0,10.0,11.0,0.0,2.0,1.0,1.0,5.0,0.0,7.0,8.0,4.0,1.0,6.0,3.0,4.0,0.0,2.0,7.0,19.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,18.0,1.0,2.0,497.0
2020-07-16,1.0,1.0,2.0,3.0,1.0,6.0,42.0,6.0,34.0,36.0,1.0,6.0,31.0,0.0,270.0,2.0,2.0,2.0,4.0,8.0,2.0,6.0,11.0,2.0,1.0,4.0,17.0,9.0,2.0,4.0,1.0,5.0,14.0,2.0,5.0,6.0,11.0,0.0,4.0,1.0,2.0,23.0,1.0,14.0,7.0,4.0,1.0,7.0,19.0,38.0,0.0,1.0,13.0,25.0,21.0,12.0,1.0,1.0,25.0,1.0,6.0,13.0,26.0,4.0,2.0,815.0
2020-07-15,1.0,2.0,1.0,4.0,1.0,3.0,6.0,1.0,7.0,29.0,1.0,7.0,33.0,0.0,207.0,2.0,28.0,4.0,4.0,11.0,4.0,5.0,10.0,2.0,2.0,2.0,1.0,7.0,1.0,4.0,1.0,3.0,16.0,1.0,15.0,2.0,5.0,0.0,2.0,1.0,3.0,10.0,1.0,9.0,10.0,3.0,2.0,10.0,4.0,3.0,1.0,2.0,6.0,27.0,31.0,6.0,1.0,1.0,13.0,2.0,3.0,27.0,5.0,3.0,2.0,554.0
2020-07-14,3.0,2.0,4.0,1.0,1.0,5.0,5.0,4.0,1.0,25.0,2.0,6.0,24.0,0.0,214.0,2.0,54.0,3.0,3.0,6.0,2.0,4.0,8.0,3.0,2.0,1.0,32.0,5.0,1.0,3.0,2.0,1.0,22.0,1.0,49.0,2.0,12.0,0.0,1.0,1.0,4.0,17.0,1.0,20.0,8.0,2.0,4.0,13.0,13.0,3.0,1.0,2.0,11.0,28.0,33.0,1.0,3.0,1.0,1.0,2.0,6.0,11.0,16.0,3.0,2.0,688.0
2020-07-13,3.0,2.0,8.0,1.0,1.0,5.0,5.0,4.0,1.0,25.0,2.0,6.0,24.0,0.0,214.0,2.0,54.0,3.0,3.0,6.0,2.0,4.0,8.0,3.0,3.0,1.0,32.0,3.0,1.0,3.0,2.0,1.0,22.0,1.0,49.0,1.0,12.0,0.0,1.0,1.0,4.0,17.0,1.0,20.0,8.0,2.0,4.0,16.0,13.0,3.0,1.0,2.0,11.0,28.0,33.0,1.0,3.0,2.0,1.0,2.0,6.0,11.0,16.0,3.0,2.0,688.0
2020-07-12,1.0,3.0,11.0,10.0,3.0,6.0,3.0,5.0,2.0,24.0,2.0,1.0,33.0,0.0,637.0,2.0,6.0,6.0,3.0,14.0,5.0,9.0,7.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,16.0,1.0,21.0,1.0,17.0,0.0,18.0,2.0,3.0,2.0,1.0,10.0,4.0,1.0,1.0,19.0,15.0,3.0,1.0,2.0,2.0,19.0,39.0,2.0,3.0,2.0,3.0,2.0,6.0,10.0,2.0,10.0,2.0,1017.0
